127.0.0.1 - - [15/Oct/2023:15:58:02 +0530] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [15/Oct/2023:15:58:04 +0530] "GET /Science/ScienceHome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:15:58:04 +0530] "GET /Science/Science.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:15:58:04 +0530] "GET /Science/graduation.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:15:58:04 +0530] "GET /Science/Graduation.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:15:58:04 +0530] "GET /Science/college.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:15:58:04 +0530] "GET /Science/graduate%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:15:58:04 +0530] "GET /Science/social-network.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:15:58:04 +0530] "GET /Science/Science.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:15:58:14 +0530] "GET /Science/ScienceHome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:15:58:14 +0530] "GET /Science/Science.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:15:58:14 +0530] "GET /Science/graduation.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:15:58:14 +0530] "GET /Science/Graduation.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:15:58:14 +0530] "GET /Science/college.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:15:58:14 +0530] "GET /Science/Science.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:15:58:14 +0530] "GET /Science/social-network.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:15:58:14 +0530] "GET /Science/graduate%20(1).png HTTP/1.1" 304 -
