127.0.0.1 - - [22/Sep/2023:11:45:07 +0530] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:45:09 +0530] "GET /Website/signup.html HTTP/1.1" 200 3086
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:45:09 +0530] "GET /Website/website.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:45:09 +0530] "GET /Website/website.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:45:09 +0530] "GET /Website/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:45:09 +0530] "GET /Website/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:45:33 +0530] "POST /Website/Web HTTP/1.1" 500 1665
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:45:49 +0530] "GET /Website/signup.html HTTP/1.1" 200 3086
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:45:49 +0530] "GET /Website/website.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:45:49 +0530] "GET /Website/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:45:49 +0530] "GET /Website/website.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:45:49 +0530] "GET /Website/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:45:49 +0530] "GET /favicon.ico HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:45:52 +0530] "GET /Website/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:46:03 +0530] "POST /Website/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:46:03 +0530] "GET /Website/Profile HTTP/1.1" 200 2650
