127.0.0.1 - - [14/Oct/2023:11:58:22 +0530] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [14/Oct/2023:11:58:23 +0530] "GET /JSP_Project/FirstJSP.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [14/Oct/2023:11:58:45 +0530] "GET /JSP_Project/FirstJSP.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [14/Oct/2023:11:58:45 +0530] "GET /favicon.ico HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [14/Oct/2023:11:59:02 +0530] "GET /JSP_Project/ResponseFile.jsp?name=Nidheesh+Nelson HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:11:59:02 +0530] "GET /JSP_Project/FirstJSP.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:00:25 +0530] "GET /JSP_Project/FirstJSP.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:00:38 +0530] "GET /JSP_Project/ResponseFile.jsp?name=Nidheesh+Nelson HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:00:38 +0530] "GET /JSP_Project/FirstJSP.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:02:04 +0530] "GET /JSP_Project/FirstJSP.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:02:10 +0530] "GET /JSP_Project/ResponseFile.jsp?name=nn HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:02:10 +0530] "GET /JSP_Project/FirstJSP.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:07:15 +0530] "GET /JSP_Project/FirstJSP.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:07:28 +0530] "GET /JSP_Project/ResponseFile.jsp?name=Nidheesh+Nelson HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:07:30 +0530] "GET /JSP_Project/ResponseFile.jsp HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:07:35 +0530] "GET /JSP_Project/ResponseFile.jsp HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [14/Oct/2023:12:07:36 +0530] "GET /JSP_Project/ResponseFile.jsp HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [14/Oct/2023:13:30:05 +0530] "GET /JSP_Project/SessionPractice.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:13:30:05 +0530] "GET /JSP_Project/Session1.jsp HTTP/1.1" 200 136
